"name","community","published_date","researcher","available_at","research_report_title","keyword_1","keyword_2","keyword_3","Id"
"RR 53","18",1996,"Works Consultancy Services","www.nzta.govt.nz/resources/research/reports/53","National traffic database - content and operation of database","Database","national","National Traffic Database",80
"RR 54A","18",1996,"Works Consultancy Services","www.nzta.govt.nz/resources/research/reports/54A","National traffic database - research report","Database","national","National Traffic Database",81
"RR 281","3",2005,"Transit","www.nzta.govt.nz/resources/research/reports/281","Effect on Pavement Wear of Increased Mass Limits for Heavy Vehicles - Concluding Report","Accelerator pavement testing","CAPTIF","heavy vehicles",82
"RR 471","42",40909,"Ian Wallis Associates Ltd","www.nzta.govt.nz/resources/research/reports/471","The benefits of public transport – option values and non-use values","contingent valuation","economic appraisal (evaluation)","market research",83
"RR 540","43",41609,"Opus International Consultants","www.nzta.govt.nz/resources/research/reports/540","Customers’ requirements of multimodal travel information systems","best practice","commuter information","crowdsourcing",84
"RR 395","44",40238,"NIWA","www.nzta.govt.nz/resources/research/reports/395","Enhancing the control of contaminants from New Zealand's roads: results of a road runoff sampling programme","contaminants","copper","load-reduction factors (LRFs)",85
"RR 520","45",41518,"NZIER","www.nzta.govt.nz/resources/research/reports/520","National long-term land transport demand model","demand","model","projections",86
"RR 566","46",42064,"Anthony Byett, Consulting Economist, Taupo 
Institute for Transport Studies, University of Leeds 
Infometrics Consulting Ltd
MWH New Zealand Ltd","www.nzta.govt.nz/resources/research/reports/566","Assessing new approaches to estimating the economic impact of transport interventions using the gross value added approach","agglomeration","GVA","imperfect competition benefits",87
"RR 258","15",2004,"University of Canterbury, Department of Civil Engineering, Christchurch","www.nzta.govt.nz/resources/research/reports/258","Detailed Experimental Investigation for Foamed Bitumen Stabilisation","Bitumen","CBR","cement",88
"RR 450","47",40787,"Evalue Research","www.nzta.govt.nz/resources/research/reports/450","Evaluation of the value of NZTA research programme reports to end users","dissemination","influence","research",89
"RR 650","48",43374,"Anthony Byett, Consulting Economist
Infometrics Consulting Ltd","www.nzta.govt.nz/resources/research/reports/650","Understanding current and forecast visitor flows to the South Island","cost-benefit analysis","destination management","road infrastructure",90
"RR 530","4",41487,"Beca, Christchurch","www.nzta.govt.nz/resources/research/reports/530","Reallocation of road space","cycling","economic impact","parking",91
"RR 645","49",43313,"Opus Research (now WSP-Opus)","www.nzta.govt.nz/resources/research/reports/645","Post-impact care: How can New Zealand address the fifth pillar of road safety?","ambulance","crash","emergency",92
"RR 546","50",41671,"AECOM","www.nzta.govt.nz/resources/research/reports/546","Measuring the resilience of transport infrastructure","criticality","failure","hazards",93
"RR 77","51",1997,"Department of Civil Engineering, University of Canterbury","www.nzta.govt.nz/resources/research/reports/77","Seismic Evaluation and Retrofit Technology for Bridges","Bridges","capacity design","earthquakes",94
"RR 81","52",1997,"Symonds Travers Morgan (NZ) Limited, McDermott Miller Limited","www.nzta.govt.nz/resources/research/reports/81","Tourism Benefits from Sealing Unsealed Roads: Perceptions of Discomfort and Risk","Attitudes","discomfort","market research",95
