"","from","to","n"
"499",35,62,5
"500",33,62,4
"501",120,62,4
"502",28,62,4
"503",17,41,4
"504",28,41,4
"505",5,58,10
"506",53,58,10
"507",54,58,10
"508",28,58,10
"509",55,58,10
"510",56,58,10
"511",57,58,10
"512",59,58,10
"513",60,58,10
"514",5,59,10
"515",53,59,10
"516",54,59,10
"517",28,59,10
"518",55,59,10
"519",56,59,10
"520",57,59,10
"521",58,59,10
"522",60,59,10
"523",5,60,10
"524",53,60,10
"525",54,60,10
"526",28,60,10
"527",55,60,10
"528",56,60,10
"529",57,60,10
"530",58,60,10
"531",59,60,10
"532",71,11,4
"533",96,64,4
"534",63,64,4
"535",65,64,4
"536",96,65,4
"537",63,65,4
"538",64,65,4
"539",28,88,4
"540",28,89,4
